"Ls","H_horiz","H_best","beta_best","gamma_c_best","H_worst","beta_worst","gamma_c_worst"
135,3355.84492555704,3452.48041244309,14,64,NA,NA,NA
136,3352.2108518737,3449.6773667345,14,63,NA,NA,NA
137,3348.27774558486,3446.6742679947,15,61,NA,NA,NA
138,3344.04069527104,3443.45917117455,15,60,NA,NA,NA
139,3339.49490728847,3439.96838231984,15,59,NA,NA,NA
140,3334.63571310174,3436.19517209126,15,58,NA,NA,NA
141,3329.45857655423,3432.15936177625,15,57,NA,NA,NA
142,3323.95910108522,3427.8103784675,15,57,NA,NA,NA
143,3318.13303690299,3423.15751990473,15,56,NA,NA,NA
144,3311.97628812335,3418.17119567077,15,55,NA,NA,NA
145,3305.48491988357,3412.89575892433,15,54,NA,NA,NA
146,3298.6551654412,3407.30270728318,15,53,NA,NA,NA
147,3291.48343326717,3401.39412202577,15,53,NA,NA,NA
148,3283.96631414204,3395.15611067049,15,52,NA,NA,NA
149,3276.10058826346,3388.57826432933,15,51,NA,NA,NA
150,3267.88323237216,3381.70521253083,15,50,NA,NA,NA
151,3259.31142690263,3374.45022053736,15,50,NA,NA,NA
152,3250.38256316325,3366.83292105478,15,49,NA,NA,NA
153,3241.09425054949,3358.85962114875,15,49,NA,NA,NA
154,3231.44432379205,3350.50252273949,15,49,NA,NA,NA
155,3221.43085023987,3341.79333938187,15,47,NA,NA,NA
156,3211.05213717668,3332.92900222713,15,43,NA,NA,NA
157,3200.30673916706,3323.61816090878,15,43,NA,NA,NA
158,3189.19346542658,3314.0482311948,15,44,NA,NA,NA
159,3177.71138720789,3303.90744303025,15,44,NA,NA,NA
160,3165.85984519308,3293.36550723196,15,44,NA,NA,NA
161,3153.63845687967,3282.38744658753,15,45,NA,NA,NA
162,3141.04712394593,3271.00270154,15,45,NA,NA,NA
163,3128.08603957876,3259.21209139392,15,45,NA,NA,NA
164,3114.75569726568,3246.80946788779,15,46,NA,NA,NA
165,3101.05689175806,3234.16964714923,15,46,NA,NA,NA
166,3086.99073573399,3221.25764294502,15,41,NA,NA,NA
167,3072.55866023737,3207.97659660509,15,41,NA,NA,NA
168,3057.76242315635,3194.30959234535,15,40,NA,NA,NA
169,3042.60411585373,3180.24542777857,15,40,NA,NA,NA
170,3027.08616958354,3165.77513966527,15,40,NA,NA,NA
171,3011.21136166152,3150.93072782474,15,39,NA,NA,NA
172,2994.9828213557,3135.67014747607,15,39,NA,NA,NA
173,2978.40403546196,3120.052654827,15,38,NA,NA,NA
174,2961.47885352885,3104.03835373736,15,38,NA,NA,NA
175,2944.21149269447,3087.63344296454,15,37,NA,NA,NA
176,2926.60654209837,3070.86303785618,15,37,NA,NA,NA
177,2908.6689668306,3053.7051330738,15,37,NA,NA,NA
178,2890.40411138008,3036.18326473612,15,36,NA,NA,NA
179,2871.81770254464,3018.29167042962,15,36,NA,NA,NA
180,2852.91585176553,3000.02707697779,15,36,NA,NA,NA
181,2833.7050568498,2981.41952763748,15,35,NA,NA,NA
