"Ls","H_horiz","H_best","beta_best","gamma_c_best","H_worst","beta_worst","gamma_c_worst"
63,2971.82515624221,3221.7375692458,-10,-48,NA,NA,NA
64,2965.18616675327,3215.54236309029,-10,-47,NA,NA,NA
65,2958.8901821216,3209.69746844656,-10,-47,NA,NA,NA
66,2952.94306200735,3204.19188515261,-10,-47,NA,NA,NA
67,2947.35051293847,3199.0319721056,-10,-47,NA,NA,NA
68,2942.11808241249,3194.22391081012,-10,-47,NA,NA,NA
69,2937.25115296626,3189.78732110516,-10,-46,NA,NA,NA
70,2932.75493622081,3185.71793095251,-10,-46,NA,NA,NA
71,2928.63446691008,3182.01699095698,-10,-46,NA,NA,NA
72,2924.89459690292,3178.68989822419,-10,-46,NA,NA,NA
73,2921.53998922887,3175.74183559067,-10,-46,NA,NA,NA
74,2918.57511211899,3173.17790324828,-10,-46,NA,NA,NA
75,2916.0042330739,3171.00429998598,-10,-45,NA,NA,NA
76,2913.83141297196,3169.23443862549,-10,-45,NA,NA,NA
77,2912.0605002311,3167.86109125463,-10,-45,NA,NA,NA
78,2910.69512503837,3166.88853446385,-10,-45,NA,NA,NA
79,2909.73869366188,3166.320374605,-10,-45,NA,NA,NA
80,2909.19438285992,3166.16009210862,-10,-45,NA,NA,NA
81,2909.06513440268,3166.41089703218,-10,-45,NA,NA,NA
82,2909.3536497216,3167.07572269125,-10,-45,NA,NA,NA
83,2910.06238470192,3168.15721949771,-10,-45,NA,NA,NA
84,2911.19354463367,3169.65774902427,-10,-45,NA,NA,NA
85,2912.74907933602,3171.57937831433,-10,-45,NA,NA,NA
86,2914.73067846996,3173.92681185784,-10,-44,NA,NA,NA
87,2917.13976705339,3176.69866931697,-10,-44,NA,NA,NA
88,2919.97750119273,3179.89514901098,-10,-44,NA,NA,NA
89,2923.24476404393,3183.51708533692,-10,-44,NA,NA,NA
90,2926.94216201571,3187.56499388201,-10,-44,NA,NA,NA
91,2931.07002122645,3192.03906756848,-10,-44,NA,NA,NA
92,2935.62838422586,3196.93917315653,-10,-44,NA,NA,NA
93,2940.6170069913,3202.26484811728,-10,-44,NA,NA,NA
94,2946.03535620778,3208.01529788592,-10,-44,NA,NA,NA
95,2951.88260683971,3214.19035696398,-10,-45,NA,NA,NA
96,2958.15764000154,3220.79145295923,-10,-45,NA,NA,NA
97,2964.8590411332,3227.81381778568,-10,-45,NA,NA,NA
98,2971.98509848546,3235.2553133285,-10,-45,NA,NA,NA
99,2979.53380191922,3243.11346174444,-10,-45,NA,NA,NA
100,2987.50284202185,3251.38544512518,-10,-45,NA,NA,NA
101,2995.88960954265,3260.06810557423,-10,-45,NA,NA,NA
102,3004.69119514865,3269.15794569701,-10,-45,NA,NA,NA
103,3013.90438950129,3278.65112950263,-10,-45,NA,NA,NA
104,3023.52568365349,3288.54362680163,-10,-45,NA,NA,NA
105,3033.55126976606,3298.83064350556,-10,-45,NA,NA,NA
106,3043.9770421418,3309.51930892969,-10,-46,NA,NA,NA
107,3054.798598575,3320.59521504581,-10,-46,NA,NA,NA
108,3066.01124201357,3332.05134063634,-10,-46,NA,NA,NA
109,3077.60998253078,3343.88171914267,-10,-46,NA,NA,NA
110,3089.58953960305,3356.08020773805,-10,-46,NA,NA,NA
111,3101.94434469023,3368.64034642543,-10,-46,NA,NA,NA
112,3114.66854411457,3381.55997114192,-10,-47,NA,NA,NA
113,3127.75600223433,3394.84272677062,-10,-47,NA,NA,NA
114,3141.20030490828,3408.46684655817,-10,-47,NA,NA,NA
115,3154.99476324725,3422.42465291357,-10,-47,NA,NA,NA
116,3169.13241764878,3436.70817618526,-10,-47,NA,NA,NA
117,3183.60604211148,3451.32793899553,-10,-48,NA,NA,NA
118,3198.4081488256,3466.26287231705,-10,-48,NA,NA,NA
119,3213.53099303655,3481.4996564127,-10,-48,NA,NA,NA
120,3228.96657817848,3497.02850308251,-10,-48,NA,NA,NA
121,3244.70666127511,3512.8671916756,-10,-49,NA,NA,NA
122,3260.74275860538,3528.98062793188,-10,-49,NA,NA,NA
123,3277.06615163157,3545.35838715359,-10,-49,NA,NA,NA
124,3293.66789318781,3562.00404713097,-10,-50,NA,NA,NA
125,3310.53881392705,3578.91169962384,-10,-50,NA,NA,NA
126,3327.66951527984,3596.05383454463,-10,-50,NA,NA,NA
127,3345.05042883196,3613.43112331976,-10,-51,NA,NA,NA
128,3362.6717482425,3631.04488295716,-10,-51,NA,NA,NA
129,3380.52348491161,3648.8614179538,-10,-51,NA,NA,NA
130,3398.59546408481,3666.88442357287,-10,-52,NA,NA,NA
131,3416.87733280746,3685.10467623541,-10,-52,NA,NA,NA
132,3435.35856812258,3703.49948651922,-10,-52,NA,NA,NA
133,3454.02848550902,3722.07906458704,-10,-53,NA,NA,NA
134,3472.87624755612,3740.81807543945,-10,-53,NA,NA,NA
135,3491.89087287045,3759.7055123901,-10,-54,NA,NA,NA
136,3511.06124520957,3778.74623871132,-10,-54,NA,NA,NA
137,3530.37612283651,3797.89827127812,-10,-54,NA,NA,NA
138,3549.82414808814,3817.19344486722,-10,-55,NA,NA,NA
139,3569.3938571491,3836.57703238427,-10,-55,NA,NA,NA
140,3589.07369002197,3856.07182795201,-10,-56,NA,NA,NA
141,3608.85200068303,3875.64103136346,-10,-56,NA,NA,NA
142,3628.71706741141,3895.29411597673,-10,-57,NA,NA,NA
143,3648.65710327811,3914.99884512916,-10,-58,NA,NA,NA
144,3668.66026677957,3934.78607665916,-10,-58,NA,NA,NA
145,3688.71467259893,3954.58781040221,-10,-58,NA,NA,NA
146,3708.80840247627,3974.43636484747,-10,-59,NA,NA,NA
147,3728.92951616723,3994.28382211638,-10,-59,NA,NA,NA
148,3749.06606246748,4014.14812945998,-10,-60,NA,NA,NA
149,3769.20609027863,4034.04304266945,-10,-61,NA,NA,NA
150,3789.33765968884,4053.9020181838,-10,-61,NA,NA,NA
151,3809.44885303942,4073.74315675968,-10,-62,NA,NA,NA
152,3829.52778594644,4093.53737103937,-10,-63,NA,NA,NA
153,3849.56261824394,4113.30588568663,-10,-63,NA,NA,NA
154,3869.54156481296,4133.01358518121,-10,-64,NA,NA,NA
155,3889.45290625826,4152.60558713216,-10,-65,NA,NA,NA
156,3909.28499939145,4172.18418335531,-10,-65,NA,NA,NA
157,3929.02628747682,4191.66873290181,-10,-66,NA,NA,NA
158,3948.66531019287,4211.05855326435,-10,-67,NA,NA,NA
159,3968.19071325897,4230.35136510894,-10,-67,NA,NA,NA
160,3987.59125767283,4249.54044422275,-10,-68,NA,NA,NA
161,4006.8558285001,4268.60442132762,-10,-69,NA,NA,NA
162,4025.9856896331,4287.53573886062,-10,-70,NA,NA,NA
163,4044.94817151535,4306.32919475182,-10,-71,NA,NA,NA
164,4063.74273480372,4324.98942314782,-10,-71,NA,NA,NA
165,4082.35895927412,4343.4951690341,-10,-72,NA,NA,NA
166,4100.78660851342,4361.83721466707,-10,-73,NA,NA,NA
167,4118.98295830356,4380.00848382953,-10,-74,NA,NA,NA
168,4136.9964915629,4398.00197382282,-10,-75,NA,NA,NA
169,4154.79044730256,4415.81141843507,-10,-76,NA,NA,NA
170,4172.35511040512,4433.43008601308,-10,-77,NA,NA,NA
171,4189.68093412784,4450.85022075348,-10,-78,NA,NA,NA
172,4206.7585369804,4468.06529194099,-10,-78,NA,NA,NA
173,4223.57869710371,4485.07161931009,-10,-80,NA,NA,NA
174,4240.13234354589,4501.86193331358,-10,-80,NA,NA,NA
175,4256.41054359448,4518.4217297189,-10,-81,NA,NA,NA
176,4272.40448496433,4534.74793924448,-10,-82,NA,NA,NA
177,4288.10545105722,4550.83369878755,-10,-83,NA,NA,NA
178,4303.50478644335,4566.66731960714,-10,-84,NA,NA,NA
179,4318.59384743388,4582.25132006796,-10,-85,NA,NA,NA
180,4333.36392709775,4597.5732195614,-10,-86,NA,NA,NA
181,4347.80613052386,4612.62519725221,-10,-87,NA,NA,NA
182,4361.91114797667,4627.39883757546,-10,-88,NA,NA,NA
